Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Belarus,Europe,994038,10520,,,,7118,75,,,
China,Western Pacific,99380642,6755,279,,279,122358,8,,,
French Guiana,,98041,32825,,,,413,138,,,
Latvia,Europe,977765,51254,,,,7475,392,,,
Saint Vincent and the Grenadines,Americas,9674,8720,,,,124,112,,,
Guinea-Bissau,Africa,9614,489,,,,177,9,,,
Niger,Africa,9525,39,,,,315,1,,,
Comoros,Africa,9109,1047,,,,160,18,,,
Antigua and Barbuda,Americas,9106,9299,,,,146,149,,,
Senegal,Africa,89311,533,,,,1972,12,,,
Malawi,Africa,89168,466,,,,2686,14,,,
Kyrgyzstan,Europe,88953,1363,,,,1024,16,,,
C�te d'Ivoire,Africa,88444,335,,,,835,3,,,
Netherlands (Kingdom of the),Europe,8642736,49649,274,2,274,22986,132,,,
Saudi Arabia,Eastern Mediterranean,841469,2417,,,,9646,28,,,
Azerbaijan,Europe,836353,8249,68,1,68,10353,102,,,
American Samoa,Western Pacific,8359,15144,,,,34,62,,,
Suriname,Americas,82503,14064,,,,1406,240,,,
New Caledonia,Western Pacific,80203,28092,,,,314,110,,,
Tokelau,Western Pacific,80,5926,,,,0,,,,
Sierra Leone,Africa,7982,100,,,,125,2,,,
French Polynesia,Western Pacific,79448,28283,,,,650,231,,,
Liberia,Africa,7930,157,,,,294,6,,,
Chad,Africa,7702,47,,,,194,1,,,
British Virgin Islands,Americas,7628,25227,,,,64,212,,,
Iran (Islamic Republic of),Eastern Mediterranean,7627863,9082,,,,146837,175,,,
Mexico,Americas,7622199,5912,45,,45,334727,260,,,
Eswatini,Africa,75356,6495,,,,1427,123,,,
Guyana,Americas,74487,9470,1,,1,1302,166,,,
Cook Islands,Western Pacific,7374,41984,,,,2,11,,,
Paraguay,Americas,735759,10316,,,,19880,279,,,
Belize,Americas,71429,17964,13,3,13,688,173,,,
International conveyance (Diamond Princess),Other,712,,,,,13,,,,
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13785,,,,5708,112,,,
Global,,7.76471644E8,4805354.0,84486.0,636.0,84486.0,7068677.0,29402.0,948.0,1.0,948.0
Cyprus,Europe,699624,78786,252,28,252,1489,168,,,
Bahrain,Eastern Mediterranean,696614,40939,,,,1536,90,,,
Fiji,Western Pacific,69047,7702,,,,885,99,,,
Madagascar,Africa,68572,248,,,,1428,5,,,
Indonesia,South-East Asia,6829610,2497,34,,34,162059,59,,,
Turks and Caicos Islands,Americas,6807,17581,2,5,2,40,103,,,
Sao Tome and Principe,Africa,6771,3090,,,,80,37,,,
Poland,Europe,6738512,17752,10790,28,10790,120829,318,13,,13
Sri Lanka,South-East Asia,672802,3142,,,,16907,79,,,
